BRM_BILLER_ACCOUNT_T_ACCOUNT_NO,BRM_BILLINFO_T_ACTG_CYCLE_DOM,TOTAL_AMOUNT,THRESHOLD,WEIGHTED_THRESHOLD,BILLSHOCK,PROXIMITY
124550778,22,44.0001,68.99,82.788,No,0.531479199884
124551779,22,142.9208,154.34,185.208,No,0.771677249363
124552065,20,46.9733,61.68,90.464,No,0.519248540856
124554410,22,24.5223,131.34,157.608,No,0.155590452261
124555024,23,24.0833,36.12,38.528,No,0.625085651993
124558732-1,25,20.8333,0.0,0.0,Yes,1.0
124560689,24,14.17,19.53,18.228,No,0.777375466316
124561306,23,36.2250501,34.04,36.3093333333,No,0.997678744675
124562205,13,31.8167,54.57,130.968,No,0.242934915399
124564605-1,25,78.801633,239.27,191.416,No,0.41167735717
124564923-1,25,9.5834,0.0,0.0,Yes,1.0
124565208,20,12.6574666,59.2,86.8266666667,No,0.145778561886
124568449,25,21.7533668,38.0,30.4,No,0.715571276316
124574185,11,146.1622168,155.72,415.253333333,No,0.351983247496
124574210,20,14.17,53.44,78.3786666667,No,0.180788990201
124574447,22,12.3334,0.0,0.0,Yes,1.0
124574947,20,41.3245833,44.59,65.3986666667,No,0.631887244898
124576450,24,107.948766,212.23,198.081333333,No,0.544971927356
124579748,20,20.6829834,20.43,29.964,No,0.690261093312
124580310,20,93.47402505,148.91,218.401333333,No,0.427992007298
124582709,24,40.1267668,51.48,48.048,No,0.835139169164
124585031,13,15.8334,19.6,47.04,No,0.336594387755
124587328-1,24,30.8333,0.0,0.0,Yes,1.0
124589499,24,24.2037165,27.5,25.6666666667,No,0.943001941558
124590345,20,60.028333,185.42,271.949333333,No,0.220733517763
124590425,25,20.6417,17.34,13.872,Yes,1.0
124592596,25,59.300067,82.83,66.264,No,0.894906238682
124592916,22,77.5,112.82,135.384,No,0.572445783844
124593144,20,69.4167,158.43,232.364,No,0.298741199153
124595668,22,17.5175,28.8,34.56,No,0.506872106481
124596885,24,35.0,74.94,69.944,No,0.500400320256
124597499,19,24.21834,47.18,75.488,No,0.320823707079
124598365,20,7.9167,0.0,0.0,Yes,1.0
124599004,25,22.5,79.97,63.976,No,0.351694385395
124600382,20,31.325,45.02,66.0293333333,No,0.474410363071
124602431,22,83.583367,93.69,112.428,No,0.743439063223
124602895,23,18.9734501,68.25,72.8,No,0.26062431456
124603034,25,100.4958,175.16,140.128,No,0.717171443252
124605558,24,69.448867,82.96,77.4293333333,No,0.896932260814
124605809,22,59.7716,0.0,0.0,Yes,1.0
124605990,23,25.1333,41.65,44.4266666667,No,0.565725540216
124608948,20,73.8800671,214.19,314.145333333,No,0.23517798694
124610384,24,36.67,219.3,204.68,No,0.179157709595
124612444,25,173.385,139.37,111.496,Yes,1.0
124615743,23,18.9923668,57.4,61.2266666667,No,0.310197628484
124617223,22,64.497033,202.58,243.096,No,0.265315073058
124617358,24,25.4167,48.41,45.1826666667,No,0.562532091953
124617950,20,86.8501,108.58,159.250666667,No,0.545367261676
124620477,25,10.8657999,13.27,10.616,Yes,1.0
124621398,23,43.3333,56.99,60.7893333333,No,0.712843810318
124621558,24,16.3417,24.9,23.24,No,0.703171256454
124624493-2,25,40.820867,0.0,0.0,Yes,1.0
124627054,23,50.0,49.34,52.6293333333,No,0.950040535063
124627076,25,14.3117,32.5,26.0,No,0.55045
124627372,11,43.8501,53.72,143.253333333,No,0.306101777736
124628226,24,64.55777835,164.62,153.645333333,No,0.420174026438
124629250,23,68.1,395.18,421.525333333,No,0.161556126322
124630253,24,26.066633,27.05,25.2466666667,Yes,1.0
124633165,21,11.6667,16.0,21.3333333333,No,0.5468765625
124633643,24,36.67,53.6,50.0266666667,No,0.733009061834
124636362,24,14.6167,75.04,70.0373333333,No,0.20869869403
124638546,24,18.34833,28.8,26.88,No,0.6826015625
124639898,24,14.1667,37.3,34.8133333333,No,0.406933167369
124642962,20,55.165,118.31,173.521333333,No,0.317914800101
124644077,20,96.3460004,109.84,161.098666667,No,0.598055852314
124645012,25,90.55,249.19,199.352,No,0.454221678237
124649527,24,64.52482505,193.53,180.628,No,0.357224932181
124649878,21,27.0833,132.95,177.266666667,No,0.152782813088
124650564,20,36.67,48.66,71.368,No,0.513815715727
124651087,24,58.57102495,83.65,78.0733333333,No,0.750205255102
124653261,22,42.0,87.24,104.688,No,0.401192113709
124653670,22,94.5600329,95.04,114.048,No,0.8291248676
124654717,24,13.3866332,73.0,68.1333333333,No,0.196477003914
124656184,25,12.5375,0.0,0.0,Yes,1.0
124656311,24,40.9149666,83.2,77.6533333333,No,0.526892598729
124659041,24,8.8333,19.65,18.34,No,0.481641221374
124659358,24,216.3201338,844.7,788.386666667,No,0.274383298128
124659836,21,52.659833,49.75,66.3333333333,No,0.793866829146
124659950,20,36.6667,49.82,73.0693333333,No,0.5018069596
124660215,23,44.8061334,43.28,46.1653333333,No,0.970557995899
124662148,25,9.1667,11.54,9.232,No,0.99292677643
124662568,25,31.6667,38.0,30.4,Yes,1.0
124662784,21,12.55,10.92,14.56,No,0.861950549451
124663490,24,45.12849175,76.7499,71.63324,No,0.629993725678
124664140,20,98.1228334,347.9,510.253333333,No,0.192302189893
124665889,22,36.960001,64.51,77.412,No,0.477445370227
124666164,25,16.3417,19.61,15.688,Yes,1.0
124666846,25,13.662567,12.18,9.744,Yes,1.0
124666937,24,35.8333,52.15,48.6733333333,No,0.736199835639
124668951,13,29.0167,49.77,119.448,No,0.242923280423
124669452,24,40.83,0.0,0.0,Yes,1.0
124670762,23,14.1667,17.0,18.1333333333,No,0.781251838235
124670808,25,14.2092001,12.45,9.96,Yes,1.0
124675267,21,30.03,-4.78,-6.37333333333,Yes,-4.71182008368
124677054,20,15.2567,23.59,34.5986666667,No,0.440962079464
124677076,24,7.9167,16.0,14.9333333333,No,0.530136160714
124679318,20,18.9167,16.4,24.0533333333,No,0.786448170732
124679329,19,214.5150503,216.7,346.72,No,0.618698229984
124681265,22,43.429,53.63,64.356,No,0.674824414196
124683563,20,103.2344671,72.02,105.629333333,No,0.977327640365
124683665,23,14.1808667,16.65,17.76,No,0.798472224099
124687705,23,27.5,34.54,36.8426666667,No,0.746417197452
124688466-1,21,32.9289,46.38,61.84,No,0.532485446313
124689003,23,15.06,17.81,18.9973333333,No,0.792742841101
124689070,20,19.358367,3.55,5.20666666667,Yes,1.0
124689172,21,91.4649666,43.6,58.1333333333,Yes,1.0
124689401,21,11.9133668,30.13,40.1733333333,No,0.296549123797
124689887,24,72.539767,124.54,116.237333333,No,0.624065994288
124689901,20,8.75,67.87,99.5426666667,No,0.0879020051703
124689989,25,15.8333,21.0,16.8,No,0.942458333333
124690824,25,40.4167,105.18,84.144,No,0.480327771439
124690868,23,24.0833,41.92,44.7146666667,No,0.538599564647
124690960,4,56.37,72.67,261.612,No,0.21547176735
124691314,25,129.0637501,208.77,167.016,No,0.772762789793
124691369,15,60.26506805,196.45,419.093333333,No,0.143798679809
124692111,21,17.57,13.9,18.5333333333,No,0.948021582734
124694442,20,17.52625,25.85,37.9133333333,No,0.462271408475
124695498,20,84.458567,110.69,162.345333333,No,0.520240189637
124698684,20,43.65167,60.32,88.4693333333,No,0.493410183566
124699856,22,20.6417,29.86,35.832,No,0.576068876981
124700190,21,8.3804,117.19,156.253333333,No,0.0536334158205
124701691,20,51.136633,113.6,166.613333333,No,0.306918011764
124701806,24,57.625,92.79,86.604,No,0.665384970671
124702249-1,11,20.6829834,0.0,0.0,Yes,1.0
124706572,21,36.1167,52.69,70.2533333333,No,0.514092332511
124710056,23,8.9167,10.7,11.4133333333,No,0.781252920561
124710716,25,7.9167,20.5,16.4,No,0.482725609756
124711319-1,21,9.1667,0.0,0.0,Yes,1.0
124713684,22,68.6872002,78.18,93.816,No,0.732148036582
124714709-1,24,56.7747417,0.0,0.0,Yes,1.0
124719782,20,14.4167,17.3,25.3733333333,No,0.568183131897
124720898,21,25.0,48.65,64.8666666667,No,0.385405960946
124722152,25,166.416633,231.0,184.8,No,0.900522905844
124723608,20,18.95,23.83,34.9506666667,No,0.542192805097
124725860,25,15.045,12.6,10.08,Yes,1.0
124727135,20,27.483367,52.93,77.6306666667,No,0.354027192862
124728012,20,34.8167,102.18,149.864,No,0.232321971921
124729240,24,16.3417,24.61,22.9693333333,No,0.711457305393
124729319,24,60.9437835,69.88,65.2213333333,No,0.934414866812
124729864,20,30.04002,38.79,56.892,No,0.528018350559
124731357,20,16.6667,24.12,35.376,No,0.471130144731
124731857,20,8.1667,28.59,41.932,No,0.194760564724
124734781,22,24.5737668,21.93,26.316,No,0.933795668035
124736556-1,19,41.9167,0.0,0.0,Yes,1.0
124738354,20,73.700067,100.24,147.018666667,No,0.501297343195
124741417,13,34.51,62.95,151.08,No,0.228422028065
124742098,20,9.75,23.05,33.8066666667,No,0.288404653914
124742963-1,11,40.06,0.0,0.0,Yes,1.0
124743442,21,19.033367,18.56,24.7466666667,No,0.769128515625
124743704,22,26.6667,19.61,23.532,Yes,1.0
124743895,20,24.3167,28.6,41.9466666667,No,0.579705181182
124743953-1,25,9.1667,0.0,0.0,Yes,1.0
124744090,22,39.07708325,31.55,37.86,Yes,1.0
124745740-1,21,57.87806,0.0,0.0,Yes,1.0
124746070,20,12.5,20.5,30.0666666667,No,0.415742793792
124746489,22,71.4633,92.05,110.46,No,0.64696089082
124752589,23,12.75,21.8,23.2533333333,No,0.548308486239
124752841,21,7.9167,11.3,15.0666666667,No,0.525444690265
124753693,18,24.18417,33.3,57.72,No,0.418991164241
124754047,13,47.155967,109.99,263.976,No,0.178637326878
124756641-1,21,14.4167,0.0,0.0,Yes,1.0
124760307-1,13,41.4071499,0.0,0.0,Yes,1.0
124762365-1,21,35.4167,0.0,0.0,Yes,1.0
124762456,11,29.0440165,51.32,136.853333333,No,0.212227322438
124762638-1,11,34.9407833,0.0,0.0,Yes,1.0
124763208,25,15.58,70.78,56.624,No,0.275148346991
124765700,24,25.7,50.35,46.9933333333,No,0.546886083132
124765766,23,14.53417,80.93,86.3253333333,No,0.168365060855
124765891,22,26.2,43.14,51.768,No,0.506104157008
124766916,20,98.8918,123.51,181.148,No,0.545917150617
124767973,20,112.378,177.31,260.054666667,No,0.432132218354
124768043,20,14.5834,17.5,25.6666666667,No,0.568184415584
124769555,23,19.1667,26.95,28.7466666667,No,0.66674512987
124771548,23,10.3167,0.0,0.0,Yes,1.0
124776112,23,15.570867,16.0,17.0666666667,No,0.912355488281
124778589-1,24,45.8333,0.0,0.0,Yes,1.0
124781175,20,48.583367,0.0,0.0,Yes,1.0
124784281,20,56.0208334,107.56,157.754666667,No,0.355113636786
124785384,12,15.8952332,0.0,0.0,Yes,1.0
124786001,21,15.9167,37.5,50.0,No,0.318334
124786523,25,33.3116343,37.16,29.728,Yes,1.0
124787626-1,11,66.349867,0.0,0.0,Yes,1.0
124788490-1,25,23.566633,0.0,0.0,Yes,1.0
124788763,11,49.2375,87.68,233.813333333,No,0.210584654425
124789093,11,85.94088505,78.18,208.48,No,0.412226041107
124789708,20,32.0833,57.49,84.3186666667,No,0.380500561362
124790869,19,18.4066332,-6.21,-9.936,Yes,-1.85251944444
124791224,24,45.6834,0.0,0.0,Yes,1.0
124797424-1,23,10.4167,12.5,13.3333333333,No,0.7812525
124799153,20,14.17,51.37,75.3426666667,No,0.188074043924
124799937,25,40.4167,52.56,42.048,No,0.961203862253
124801636,25,18.69833,20.15,16.12,Yes,1.0
124802944,12,26.2870165,31.4,79.5466666667,No,0.3304603147
124803116,25,11.6667,-8.26,-6.608,Yes,-1.76554176755
124804344,24,26.6667,19.55,18.2466666667,Yes,1.0
124805265,25,41.4484332,29.72,23.776,Yes,1.0
124808097,13,152.7279338,199.06,477.744,No,0.319685718293
124808235,21,11.7017001,14.0,18.6666666667,No,0.626876791071
124809101,24,91.224333,117.94,110.077333333,No,0.828729496233
124813389,24,36.25,54.93,51.268,No,0.707068736834
124815381,24,212.9834,216.88,202.421333333,Yes,1.0
124817667,13,51.586834,0.0,0.0,Yes,1.0
124817770,14,31.8167,39.28,89.0346666667,No,0.357351818018
124818146,20,18.262367,40.86,59.928,No,0.304738469497
124818613-1,23,12.9,0.0,0.0,Yes,1.0
124818726-1,24,10.43232505,0.0,0.0,Yes,1.0
124820059,24,44.6724666,46.15,43.0733333333,Yes,1.0
124820764,22,33.3333,48.16,57.792,No,0.576780523256
124822200,24,45.0,71.05,66.3133333333,No,0.678596561777
124822277,24,16.38255425,106.48,99.3813333333,No,0.164845385954
124823596,20,35.99665,55.25,81.0333333333,No,0.44422027972
124823632,24,21.59729175,26.2,24.4533333333,No,0.883204406352
124824279,25,40.9767499,84.46,67.568,No,0.606452017227
124826497,12,72.9772825,83.34,211.128,No,0.345654212137
124827147,22,26.67,69.31,83.172,No,0.320660799307
124828568-2,23,18.76875,0.0,0.0,Yes,1.0
124829387,13,46.81166,63.65,152.76,No,0.306439251113
124830335,23,20.6417,2.95,3.14666666667,Yes,1.0
124830971,25,38.716633,56.0,44.8,No,0.864210558036
124833996,24,30.1333,104.88,97.888,No,0.307834463877
124834328,20,53.7462,69.53,101.977333333,No,0.527040649556
124834500,23,47.174133,60.56,64.5973333333,No,0.730279882554
124835089-1,23,49.086334,0.0,0.0,Yes,1.0
124836228,24,12.5,24.05,22.4466666667,No,0.556875556876
124836364,22,10.03,8.67,10.404,No,0.964052287582
124839027,11,28.3333,34.55,92.1333333333,No,0.307524963821
124843181,13,60.55,68.92,165.408,No,0.366064519249
124844240,24,97.9175,260.48,243.114666667,No,0.402762619559
124845069,22,75.04379165,211.61,253.932,No,0.295527116118
124845796,22,15.15,67.0,80.4,No,0.188432835821
124850748,24,15.045,43.65,40.74,No,0.369293078056
124853127,25,106.055833,0.0,0.0,Yes,1.0
124853230,23,25.0,40.07,42.7413333333,No,0.584913900674
124854106,19,83.9833,286.14,457.824,No,0.183440142937
124854297,23,28.9166,40.75,43.4666666667,No,0.665259202454
124854866,23,52.506867,99.79,106.442666667,No,0.493287782468
124855618,21,47.4667,68.47,91.2933333333,No,0.519936103403
124857110,25,46.19,136.85,109.48,No,0.421903544026
124857438,20,21.5,27.3,40.04,No,0.536963036963
124857994,20,26.933367,27.08,39.7173333333,No,0.678126267289
124858315,20,60.7082008,48.1,70.5466666667,No,0.86053960688
124858542,18,30.06,37.55,65.0866666667,No,0.461845744136
124858699,20,13.3333,14.0,20.5333333333,No,0.649349025974
124860239,24,61.330033,139.8,130.48,No,0.470033974555
124862559-1,21,40.82124995,0.0,0.0,Yes,1.0
124862902,24,14.18795005,22.13,20.6546666667,No,0.686912564554
124864302,24,14.1667,56.7,52.92,No,0.267700302343
124864584,22,31.8167,43.53,52.236,No,0.609095259974
124866202,23,133.9847182,201.99,215.456,No,0.621865801834
124866542,25,15.2384332,25.5,20.4,No,0.746982019608
124872062,20,45.09,66.02,96.8293333333,No,0.465664674617
124872200,10,53.2965,0.0,0.0,Yes,1.0
124872302-1,22,73.141667,0.0,0.0,Yes,1.0
124872788,20,71.31062505,87.62,128.509333333,No,0.554906193973
124874735,23,49.0167,89.62,95.5946666667,No,0.51275559306
124876124,20,49.1667,140.29,205.758666667,No,0.238953239718
124879070,24,57.9225,172.56,161.056,No,0.35964198788
124882633,22,45.97954175,83.57,100.284,No,0.458493296538
124883645-1,20,28.8468332,0.0,0.0,Yes,1.0
124883678,20,45.35,110.71,162.374666667,No,0.279292336243
124886013,24,35.8717334,74.86,69.8693333333,No,0.513411702798
124888731,24,26.6933667,30.9,28.84,No,0.9255675
124890984,19,29.1667,64.79,103.664,No,0.281358041364
124893250,24,7.9167,9.5,8.86666666667,No,0.892860902256
124897174,12,28.933367,49.0,124.133333333,No,0.233082977981
124897243,23,7.9167,25.0,26.6666666667,No,0.29687625
124899096,20,16.5433,30.06,44.088,No,0.375233623662
124901148,23,16.6667,20.0,21.3333333333,No,0.7812515625
124907633,23,34.04665,21.8,23.2533333333,Yes,1.0
124907804-1,23,-5.956633,0.0,0.0,No,-inf
124911402,21,32.7166,100.23,133.64,No,0.244811433702
124913540,20,35.2501,33.8,49.5733333333,No,0.711069795589
124918501,13,10.4167,13.55,32.52,No,0.320316728167
134042741,4,14.2375335,50.0,180.0,No,0.0790974083333
134044447,14,14.17,20.55,46.58,No,0.304207814513
134047177,13,72.28112505,104.55,250.92,No,0.288064423123
134051195,4,41.2834,10.54,37.944,Yes,1.0
134053506,5,8.75,10.5,36.4,No,0.240384615385
134062063,10,7.9167,11.44,32.032,No,0.247149725275
134091331,4,36.1167,44.68,160.848,No,0.224539316622
134104768,11,20.83,25.0,66.6666666667,No,0.31245
134105327,12,48.5789,41.26,104.525333333,No,0.46475718805
134109967,6,16.3417,20.7,69.0,No,0.236836231884
134145530,7,28.41499,67.55,216.16,No,0.131453506662
134199396,4,19.575,23.49,84.564,No,0.231481481481
134248410,4,17.6667,23.5,84.6,No,0.208826241135
134251084,12,20.6953002,17.86,45.2453333333,No,0.457401872753
134257911,6,15.7,14.4,48.0,No,0.327083333333
134258934,6,21.5645,24.06,80.2,No,0.2688840399
134276425,10,26.55,33.88,94.864,No,0.279874346433
134278381,5,15.0432332,15.8,54.7733333333,No,0.274645202045
134283300,6,16.3417,32.05,106.833333333,No,0.152964430577
134299080,10,32.275867,62.59,175.252,No,0.184168323329
134304533,6,41.38,106.32,354.4,No,0.116760722348
134356400,4,15.5297499,28.41,102.276,No,0.151841584536
134363932,6,15.9667,18.5,61.6666666667,No,0.258919459459
134365138,12,18.3167,22.99,58.2413333333,No,0.314496577459
134380273,24,14.1667,20.0,18.6666666667,No,0.758930357143
134451951,23,21.6667,42.75,45.6,No,0.475146929825
134457731,13,31.9121501,27.28,65.472,No,0.487416759836
134468701,6,36.67,46.2,154.0,No,0.238116883117
134474209,12,89.8062671,145.07,367.510666667,No,0.244363702187
134501485,6,9.3167,30.5,101.666666667,No,0.0916396721311
134511681,6,175.1025,240.17,800.566666667,No,0.218723196069
134514582,15,26.7900668,38.09,81.2586666667,No,0.329688732279
134516426,16,133.3867248,83.11,166.22,No,0.802470971002
134516722,6,62.21225,57.63,192.1,No,0.323853461739
134516846,9,75.7118332,65.02,190.725333333,No,0.396967890299
134519452,16,50.7987833,63.29,126.58,No,0.401317611787
134524551,3,14.1667,21.99,82.096,No,0.172562609628
134525029-1,7,18.89465,11.1,35.52,No,0.531943975225
134528533,17,24.98,31.77,59.304,No,0.421219479293
134530300,6,24.2037165,28.9,96.3333333333,No,0.251249652249
134531890,17,58.155,217.29,405.608,No,0.143377349559
134533245,6,19.35185005,44.2,147.333333333,No,0.131347398529
134533972,17,9.3666,16.22,30.2773333333,No,0.309360137397
134538795,18,31.6667,-75.8,-131.386666667,Yes,-0.241019129288
134538933,6,48.2867,50.84,169.466666667,No,0.28493332022
134540062,18,31.8167,60.02,104.034666667,No,0.305827865071
134547069,16,7.9167,14.5,29.0,No,0.272989655172
134548128,6,36.13318325,18.58,61.9333333333,No,0.583420612217
134550622,16,10.8334,77.21,154.42,No,0.0701554202823
134554262,14,35.7583,0.0,0.0,Yes,1.0
134556093,16,23.3095668,25.0,50.0,No,0.466191336
134557618,17,7.9167,10.5,19.6,No,0.403913265306
134560475,16,22.3826336,31.42,62.84,No,0.356184493953
134561658,7,9.1667,22.0,70.4,No,0.130208806818
134563581,15,63.7632,29.87,63.7226666667,Yes,1.0
134565232,6,14.1704,67.5,225.0,No,0.0629795555556
134567950,6,9.5167,11.0,36.6666666667,No,0.259546363636
134570579,15,51.4350334,68.93,147.050666667,No,0.349777628119
134571310,6,32.7667,41.53,138.433333333,No,0.236696604864
134574551,6,32.9667,38.28,127.6,No,0.258359717868
134576962,16,104.9375001,129.8,259.6,No,0.40422765832
